Name,Year,Type,Genre,MovieScore,Metascore,Duration,MovieColor,MovieLanguage,MovieWorldwideGross,MovieURL,Total_Votes
Dora and the Lost City of Gold ,2019,Movie,"['Adventure', 'Family']",6.1,63,102,Color,English,75257691,https://www.imdb.com/title/tt7547410/,4542
Godzilla: King of the Monsters ,2019,Movie,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",6.2,48,132,Color,English,385895191,https://www.imdb.com/title/tt3741700/,78570
American Horror Story,-,TV Series,"['Drama', 'Horror', 'Thriller']",8.1,0,60,Color,English,0,https://www.imdb.com/title/tt1844624/,252535
Annabelle Comes Home ,2019,Movie,"['Horror', 'Mystery', 'Thriller']",6.1,53,106,Color,English,222783994,https://www.imdb.com/title/tt8350360/,25614
The Curse of La Llorona ,2019,Movie,"['Horror', 'Mystery', 'Thriller']",5.4,41,93,Color,English,122133739,https://www.imdb.com/title/tt4913966/,22501
The Flash,-,TV Series,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.8,0,43,Color,English,0,https://www.imdb.com/title/tt3107288/,280970
Legion,-,TV Series,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",8.3,0,60,Color,English,0,https://www.imdb.com/title/tt5114356/,75269
True Detective,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",9,0,55,Color,English,0,https://www.imdb.com/title/tt2356777/,452417
Typewriter,-,TV Series,"['Horror', 'Thriller']",6.5,0,48,Color,Hindi,0,https://www.imdb.com/title/tt9310372/,2349
Hereditary ,2018,Movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",7.3,87,127,Color,English,79336821,https://www.imdb.com/title/tt7784604/,168358
The Intruder ,2019,Movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",5.5,39,102,Color,English,36583662,https://www.imdb.com/title/tt6722030/,6330
Ready or Not ,2019,Movie,"['Comedy', 'Horror', 'Mystery', 'Thriller']",7.2,63,95,Color,English,22413682,https://www.imdb.com/title/tt7798634/,9480
Jane the Virgin,-,TV Series,['Comedy'],7.8,0,0,Color,English,0,https://www.imdb.com/title/tt3566726/,31865
Schitt's Creek,-,TV Series,['Comedy'],8.2,0,22,Color,English,0,https://www.imdb.com/title/tt3526078/,19707
Ad Astra ,2019,Movie,"['Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",8.1,81,124,Color,English,0,https://www.imdb.com/title/tt2935510/,465
Supergirl,-,TV Series,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",6.4,0,43,Color,English,0,https://www.imdb.com/title/tt4016454/,98806
Law & Order: Special Victims Unit,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8,0,60,Color,English,0,https://www.imdb.com/title/tt0203259/,70179
Pulp Fiction ,1994,Movie,"['Crime', 'Drama']",8.9,94,154,Color,English,214179088,https://www.imdb.com/title/tt0110912/,1671192
Rick and Morty,-,TV Series,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi']",9.3,0,23,Color,English,0,https://www.imdb.com/title/tt2861424/,288954
Point Blank ,2019,Movie,"['Action', 'Thriller']",5.6,37,86,Color,English,0,https://www.imdb.com/title/tt2499472/,7953
Fantastic Beasts: The Crimes of Grindelwald ,2018,Movie,"['Adventure', 'Family', 'Fantasy']",6.6,52,134,Color,English,653755901,https://www.imdb.com/title/tt4123430/,176128
Shameless,-,TV Series,"['Comedy', 'Drama']",8.6,0,46,Color,English,0,https://www.imdb.com/title/tt1586680/,173517
Carnival Row,-,TV Series,"['Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']",8.1,0,0,Color,English,0,https://www.imdb.com/title/tt0489974/,6672
City on a Hill,-,TV Series,"['Crime', 'Drama', 'Thriller']",7.6,0,60,Color,English,0,https://www.imdb.com/title/tt7187044/,3331
Pandora,-,TV Series,"['Action', 'Drama', 'Sci-Fi']",3.6,0,0,Color,English,0,https://www.imdb.com/title/tt10207090/,1345
Jessica Jones,-,TV Series,"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",8,0,56,Color,English,0,https://www.imdb.com/title/tt2357547/,179583
Good Boys ,2019,Movie,"['Adventure', 'Comedy']",6.9,60,89,Color,English,70807965,https://www.imdb.com/title/tt7343762/,10562
Star Trek: The Next Generation,-,TV Series,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",8.6,0,44,Color,English,0,https://www.imdb.com/title/tt0092455/,88668
Fleabag,-,TV Series,"['Comedy', 'Drama']",8.6,0,27,Color,English,0,https://www.imdb.com/title/tt5687612/,31346
NCIS: Naval Criminal Investigative Service,-,TV Series,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",7.8,0,0,Color,English,0,https://www.imdb.com/title/tt0364845/,109024
Spider-Man: Homecoming ,2017,Movie,"['Action', 'Adventure', 'Sci-Fi']",7.5,73,133,Color,English,880166924,https://www.imdb.com/title/tt2250912/,449227
Swamp Thing,-,TV Series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi']",8,0,60,Color,English,0,https://www.imdb.com/title/tt8362852/,10568
Parks and Recreation,-,TV Series,['Comedy'],8.6,0,22,Color,English,0,https://www.imdb.com/title/tt1266020/,181773
Murder Mystery ,2019,Movie,"['Action', 'Comedy', 'Crime', 'Mystery', 'Romance']",6,38,97,Color,English,0,https://www.imdb.com/title/tt1618434/,65295
The Sopranos,-,TV Series,"['Crime', 'Drama']",9.2,0,55,Color,English,0,https://www.imdb.com/title/tt0141842/,260049
The Blacklist,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8,0,43,Color,English,0,https://www.imdb.com/title/tt2741602/,162859
Mad Men,-,TV Series,['Drama'],8.6,0,47,Color,English,0,https://www.imdb.com/title/tt0804503/,184467
The Princess and the Frog ,2009,Movie,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",7.1,73,97,Color,English,267045765,https://www.imdb.com/title/tt0780521/,111784
Gotham,-,TV Series,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",7.8,0,42,Color,English,0,https://www.imdb.com/title/tt3749900/,198176
Mindhunter,-,TV Series,"['Crime', 'Drama', 'Thriller']",8.6,0,60,Color,English,0,https://www.imdb.com/title/tt5290382/,144279
Thor: Ragnarok ,2017,Movie,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",7.9,74,130,Color,English,853977126,https://www.imdb.com/title/tt3501632/,505403
It's Always Sunny in Philadelphia,-,TV Series,['Comedy'],8.8,0,22,Color,English,0,https://www.imdb.com/title/tt0472954/,173491
Avengers: Infinity War ,2018,Movie,"['Action', 'Adventure', 'Sci-Fi']",8.5,68,149,Color,English,2048359754,https://www.imdb.com/title/tt4154756/,702906
Ladyhawke ,1985,Movie,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",7,64,121,Color,English,18432000,https://www.imdb.com/title/tt0089457/,40417
Anna ,2019,Movie,"['Action', 'Thriller']",6.6,40,119,Color,English,27360840,https://www.imdb.com/title/tt7456310/,8280
A Star Is Born ,2018,Movie,"['Drama', 'Music', 'Romance']",7.7,88,136,Color,English,434888866,https://www.imdb.com/title/tt1517451/,271531
How I Met Your Mother,-,TV Series,"['Comedy', 'Romance']",8.3,0,22,Color,English,0,https://www.imdb.com/title/tt0460649/,550730
Doctor Who,-,TV Series,"['Adventure', 'Drama', 'Family', 'Mystery', 'Sci-Fi']",8.6,0,45,Color,English,0,https://www.imdb.com/title/tt0436992/,185784
